"Region","District","District.No.","School.Name","School.No.","NCES.School.No.","Principal","School.Type","Grade.Level","Categories","County","Status","address","Address.1.City","Address.1.State","Address.1.Zipcode","Address.2.Composite","Phone.1","Phone.2","Fax.1","Email.Address","STATEFP","SLDLST","GEOID","GEOIDFQ","NAMELSAD","LSAD","LSY","MTFCC","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON"
"East Tennessee","Blount County Private Schools",9050,"Adventist Christian School of Maryville",9066,NA,"Rachel Clifford","Private","K, 1, 2, 3, 4, 5, 6, 7, 8","Category II - Approved by private school accrediting agency","Blount","Active","2921 Sevierville Road
 Maryville, TN 37804","Maryville","TN","37804","P.O. Box 4128 Road
 Maryville, TN 37802","865-982-7584",NA,"865-681-9901","rclifford@gccsda.com","47","020","47020","620L900US47020","State House District 20","LL","2024","G5220","N",307692224,11407469,"+35.7545814","-084.0611095"
"South Central","Maury County Private Schools",9600,"Agathos Classical School",9007,NA,"Ted Trainor","Private","PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Category IV - Church Related Schools","Maury","Active","1201 Mapleash Avenue
 Columbia, TN 38401","Columbia","TN","38401","","931-388-0556",NA,"","ryan.boomershine@agathosschool.com","47","064","47064","620L900US47064","State House District 64","LL","2024","G5220","N",677482687,3520021,"+35.5816829","-086.9593950"
"Mid Cumberland","Davidson County Private Schools",9190,"Akiva School",9010,NA,"Daneilla Pressner","Private","K, 1, 2, 3, 4, 5, 6, 7, 8","Category III - Approved by regional private school accrediting agency","Davidson","Active","809 Percy Warner Boulevard
 Nashville, TN 37205-4009","Nashville","TN","37205-4009","809 Percy Warner Boulevard
 Nashville, TN 37205","615-356-1880",NA,"615-356-1850","dpressner@akivanashville.net","47","059","47059","620L900US47059","State House District 59","LL","2024","G5220","N",204679089,336807,"+36.0504586","-086.8514151"
"East Tennessee","Alcoa",51,"Alcoa Elementary",5,4.70006e+11,"Dr. Jarrod Pendergraft","Public","P3, P4, PK, K, 1, 2","","Blount","Active","1200  Springbrook  Road
 Alcoa, TN 37701","Alcoa","TN","37701","","865-982-3120",NA,"865-984-4458","JPendergraft@alcoaschools.net","47","008","47008","620L900US47008","State House District 8","LL","2024","G5220","N",1139706477,8726266,"+35.6663430","-083.8905431"
"Southwest","Madison County",570,"Alexander Elementary School",6,4.70258e+11,"Kenton Evans","Public","P3, P4, PK, K, 1, 2, 3, 4, 5","","Madison","Active","900 N Highland Avenue
 Jackson, TN 38301","Jackson","TN","38301","","731-422-1841",NA,"731-424-1801","knevans@jmcss.org","47","080","47080","620L900US47080","State House District 80","LL","2024","G5220","N",2310259997,5874258,"+35.3105406","-089.0290715"
"Upper Cumberland","Putnam County",710,"Algood Elementary",5,4.70348e+11,"Patience Cannon","Public","K, 1, 2, 3, 4","","Putnam","Active","2525 Old Walton Road
 Algood, TN 38506","Algood","TN","38506","","931-303-0362",NA,"","cannonp1@pcsstn.com","47","042","47042","620L900US47042","State House District 42","LL","2024","G5220","N",694817936,2997540,"+36.1506277","-085.5921948"
"First Tennessee","Hamblen County Private Schools",9320,"AliYah Academy",9705,NA,"Katherine Nemeth","Private","K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Category IV - Church Related Schools","Hamblen","Active","929 W. 1st North Street
 Morristown, TN 37814","Morristown","TN","37814","","865-297-6940",NA,"","aliyahacademy@gmail.com","47","010","47010","620L900US47010","State House District 10","LL","2024","G5220","N",908290355,85784268,"+36.2695672","-083.4795552"
"First Tennessee","Hamblen County Private Schools",9320,"All Saints' Episcopal School",9005,NA,"Steven Sorrell","Private","PK, K, 1, 2, 3, 4, 5, 6, 7, 8","Category III - Approved by regional private school accrediting agency","Hamblen","Active","3275 Maple Valley Road
 Morristown, TN 37813","Morristown","TN","37813","","423-586-3280",NA,"423-586-9355","ssorrell@asestn.org","47","010","47010","620L900US47010","State House District 10","LL","2024","G5220","N",908290355,85784268,"+36.2695672","-083.4795552"
"Upper Cumberland","Fentress County",250,"Allardt Elementary",5,4.70123e+11,"Missie Cravens","Public","P4, K, 1, 2, 3, 4, 5, 6, 7, 8","","Fentress","Active","220 Portland Avenue
 Allardt, TN 38504","Allardt","TN","38504","Box 129 Avenue
 Allardt, TN 38504","931-879-9515",NA,"931-879-2702","missie.cravens@fentressboe.com","47","038","47038","620L900US47038","State House District 38","LL","2024","G5220","N",3951796164,92346855,"+36.4941346","-085.1164257"
"Southeast Tennessee","Hamilton County",330,"Allen Elementary School",5,4.70159e+11,"Haley Brown","Public","P3, P4, K, 1, 2, 3, 4, 5","","Hamilton","Active","9811  Dallas  Hollow Road
 Soddy Daisy, TN 37379","Soddy Daisy","TN","37379","","423-843-4713",NA,"423-743-4714","Brown_Haley@hcde.org","47","027","47027","620L900US47027","State House District 27","LL","2024","G5220","N",466296879,6374829,"+35.2053820","-085.2612893"
"Mid Cumberland","Williamson County",940,"Allendale Elementary School",4,4.70453e+11,"Dr. Cindy Davis","Public","K, 1, 2, 3, 4, 5","","Williamson","Active","2100 Prescott Way
 Spring Hill, TN 37174","Spring Hill","TN","37174","","615-472-5130",NA,"615-472-5141","cindyd1@wcs.edu","47","092","47092","620L900US47092","State House District 92","LL","2024","G5220","N",1093875930,1832930,"+35.4907455","-086.7770615"
"Southeast Tennessee","Hamilton County",330,"Alpine Crest Elementary School",10,4.70159e+11,"Shelly Jackson","Public","K, 1, 2, 3, 4, 5","","Hamilton","Active","4700  Stagg  Road
 Chattanooga, TN 37415","Chattanooga","TN","37415","","423-874-1921",NA,"423-874-1939","jackson_shelly@hcde.org","47","027","47027","620L900US47027","State House District 27","LL","2024","G5220","N",466296879,6374829,"+35.2053820","-085.2612893"
"Southwest","Bartlett",794,"Altruria Elementary",3,4.70015e+11,"Marva Johnson","Public","K, 1, 2, 3, 4, 5","","Shelby","Active","6641 Deermont Drive
 Bartlett, TN 38134","Bartlett","TN","38134","","901-373-2600",NA,"901-373-1418","mjohnson@bartlettschools.org","47","099","47099","620L900US47099","State House District 99","LL","2024","G5220","N",425144746,1470666,"+35.3063766","-089.7586149"
"Mid Cumberland","Williamson County",940,"Amanda H. North Elementary School",34,4.70453e+11,"Jill Justus","Public","PK, K, 1, 2, 3, 4, 5","","Williamson","Active","1726 Wilkes Lane
 Spring Hill, TN 37174","Spring Hill","TN","37174","","615-472-5400",NA,"","jill.justus@wcs.edu","47","092","47092","620L900US47092","State House District 92","LL","2024","G5220","N",1093875930,1832930,"+35.4907455","-086.7770615"
"Mid Cumberland","Rutherford County",750,"American Classical Academy Rutherford",8001,4.70369e+11,"Phillip Schwenk","Public Charter","K, 1, 2, 3, 4, 5, 6","","Rutherford","Active","2 Ingram Blvd
 La Vergne, TN 37086","LaVergne","TN","37086","","615-893-5812",NA,"","pschwenk@americanclassicalschools.com","47","049","47049","620L900US47049","State House District 49","LL","2024","G5220","N",147077882,449652,"+35.9505868","-086.5397956"
"East Tennessee","Knox County",470,"Amherst Elementary School",2,4.70222e+11,"Trina Spista","Public","PK, K, 1, 2, 3, 4, 5","","Knox","Active","5101 Schaad Road
 Knoxville, TN 37931","Knoxville","TN","37931","","865-560-7001",NA,"865-560-7005","trina.spista@knoxschools.org","47","089","47089","620L900US47089","State House District 89","LL","2024","G5220","N",167308257,6567542,"+35.9518846","-084.1470801"
"Southwest","Haywood County",380,"Anderson Early Childhood",5,4.70177e+11,"Teresa Russell","Public","PK, K","","Haywood","Active","620 West Main
 Brownsville, TN 38012","Brownsville","TN","38012","","731-772-9053",NA,"","teresa.russell@hcsk12.net","47","080","47080","620L900US47080","State House District 80","LL","2024","G5220","N",2310259997,5874258,"+35.3105406","-089.0290715"
"East Tennessee","Anderson County",10,"Andersonville Elementary",5,4.70009e+11,"Beth Roeder","Public","PK, K, 1, 2, 3, 4, 5","","Anderson","Active","1951  Mountain  Road
 Andersonville, TN 37705","Andersonville","TN","37705","","865-494-7695",NA,"865-494-5484","broeder@acs.ac","47","041","47041","620L900US47041","State House District 41","LL","2024","G5220","N",3433702932,10144715,"+36.2269633","-084.8410320"
"Southwest","Madison County",570,"Andrew Jackson Elementary School",146,4.70258e+11,"Ryan Kirkbride","Public","PS, K, 1, 2, 3, 4, 5","","Madison","Active","211 Old Hickory Boulevard
 Jackson, TN 38305","Jackson","TN","38305","","731-668-8023",NA,"731-668-5933","rmkirkbride@jmcss.org","47","080","47080","620L900US47080","State House District 80","LL","2024","G5220","N",2310259997,5874258,"+35.3105406","-089.0290715"
"First Tennessee","Kingsport",822,"Andrew Jackson Elementary School",15,4.70219e+11,"Dr. Kelli Seymour","Public","PK, K, 1, 2, 3, 4, 5","","Sullivan","Active","600  Jackson  Street
 Kingsport, TN 37660","Kingsport","TN","37660","","423-378-2250",NA,"423-378-2242","kseymour@k12k.com","47","002","47002","620L900US47002","State House District 2","LL","2024","G5220","N",309943554,5015733,"+36.5242095","-082.4455965"
"First Tennessee","Kingsport",822,"Andrew Johnson Elementary School",25,4.70219e+11,"Mr. Brett Herron","Public","PK, K, 1, 2, 3, 4, 5","","Sullivan","Active","1001  Ormond  Drive
 Kingsport, TN 37664","Kingsport","TN","37664","","423-378-2300",NA,"423-378-2310","bherron@k12k.com","47","002","47002","620L900US47002","State House District 2","LL","2024","G5220","N",309943554,5015733,"+36.5242095","-082.4455965"
"Upper Cumberland","Putnam County Private Schools",9710,"Anniston Academy",9987,NA,"Erin Mekkaoui","Private","PK, K, 1, 2, 3, 4, 5, 6","Category I - Approved by TDOE","Putnam","Active","2221 West Jackson Street
 Cookeville, TN 38501","Cookeville","TN","38501","","931-263-8908",NA,"","admin@annistonacademy.com","47","042","47042","620L900US47042","State House District 42","LL","2024","G5220","N",694817936,2997540,"+36.1506277","-085.5921948"
"Southeast Tennessee","Hamilton County Private Schools",9330,"Annoor Academy of Chattanooga",9181,NA,"Amany Shourbaji","Private","PK, K, 1, 2, 3, 4, 5, 6, 7, 8","Category III - Approved by regional private school accrediting agency","Hamilton","Active","2533 Gunbarrel Road
 Chattanooga, TN 37421-1808","Chattanooga","TN","37421-1808","","423-894-1637",NA,"","principal@annooracademy.org","47","029","47029","620L900US47029","State House District 29","LL","2024","G5220","N",360985605,28453623,"+35.1925937","-085.0562331"
"East Tennessee","Knox County Private Schools",9470,"Annoor Academy of Knoxville",9001,NA,"Reem Abdelrazek","Private","PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Category III - Approved by regional private school accrediting agency","Knox","Active","724 Foxvue Road
 Knoxville, TN 37922-9005","Knoxville","TN","37922-9005","","865-525-3399",NA,"865-249-7627","admin@annooracademy.net","47","018","47018","620L900US47018","State House District 18","LL","2024","G5220","N",166246744,7363045,"+35.9137184","-083.9615571"
"Southeast Tennessee","Hamilton County",330,"Apison Elementary School",13,4.70159e+11,"Danielle Rungruang","Public","P3, P4, K, 1, 2, 3, 4, 5","","Hamilton","Active","10433 East Brainerd Road
 Apison, TN 37302","Apison","TN","37302","","423-498-6895",NA,"423-236-4000","rungruang_d@hcde.org","47","030","47030","620L900US47030","State House District 30","LL","2024","G5220","N",147195823,133029,"+35.0072235","-085.1153046"
"East Tennessee","Blount County Private Schools",9050,"Apostolic Christian Academy",9006,NA,"Jacob D. Sullivan","Private","K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Category IV - Church Related Schools, Category II - Approved by private school accrediting agency","Blount","Active","1331 William Blount Drive
 Maryville, TN 37801","Maryville","TN","37801","","865-982-4901",NA,"865-268-0740","jacob.sullivan@acamaryville.org","47","020","47020","620L900US47020","State House District 20","LL","2024","G5220","N",307692224,11407469,"+35.7545814","-084.0611095"
"East Tennessee","Knox County Private Schools",9470,"Apostolic Christian School",9375,NA,"Carolyn Daniel","Private","PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Category IV - Church Related Schools","Knox","Active","5020 Pleasant Ridge Road
 Knoxville, TN 37912-4829","Knoxville","TN","37912-4829","","865-523-5261",NA,"865-544-0995","ACSKnoxville@gmail.com","47","089","47089","620L900US47089","State House District 89","LL","2024","G5220","N",167308257,6567542,"+35.9518846","-084.1470801"
"First Tennessee","Kingsport Private Schools",9822,"Apostolic Gospel Academy",9008,NA,"Sharon Street","Private","K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Category IV - Church Related Schools","Sullivan","Active","1780 Granby Road
 Kingsport, TN 37660","Kingsport","TN","37660","","423-245-6756",NA,"","agacademy16@yahoo.com","47","001","47001","620L900US47001","State House District 1","LL","2024","G5220","N",384127158,16609030,"+36.5605034","-082.2082526"
"First Tennessee","Johnson City Private Schools",9901,"Appalachian Banner Academy",9870,NA,"Mikael Gouge","Private","K, 1, 2, 3, 4","Category V - Acknowledged by TDOE for operation","Washington","Active","2423 Susannah Street
 Johnson City, TN 37601","Johnson City","TN","37601","","423-297-6828",NA,"","mikaelgouge@gmail.com","47","006","47006","620L900US47006","State House District 6","LL","2024","G5220","N",409170990,6551151,"+36.3487407","-082.5145393"
"Southwest","Madison County",570,"Arlington Elementary School",14,4.70258e+11,"Shemon Reaves","Public","P3, P4, PK, K, 1, 2, 3, 4, 5","","Madison","Active","701 Arlington Avenue
 Jackson, TN 38301","Jackson","TN","38301","","731-265-9784",NA,"731-265-9803","sjreaves@jmcss.org","47","073","47073","620L900US47073","State House District 73","LL","2024","G5220","N",1034793145,3135857,"+35.7026317","-088.7189177"
"Mid Cumberland","Williamson County",940,"Arrington Elementary School",38,4.70453e+11,"Amanda Fuller","Public","PK, K, 1, 2, 3, 4, 5","","Williamson","Active","6280 Cox Road
 Arrington, TN 37014","Arrington","TN","37014","","615-472-5420",NA,"","amanda.fuller@wcs.edu","47","063","47063","620L900US47063","State House District 63","LL","2024","G5220","N",448755151,270204,"+35.8706934","-086.7189208"
"Mid Cumberland","Cheatham County",110,"Ashland City Elementary",5,4.70057e+11,"Linda Owen","Public","PK, K, 1, 2, 3, 4","","Cheatham","Active","108  Elizabeth  Street
 Ashland City, TN 37015","Ashland City","TN","37015","","615-792-4296",NA,"","linda.owen@ccstn.org","47","078","47078","620L900US47078","State House District 78","LL","2024","G5220","N",1286514863,15006404,"+36.2342665","-087.1588644"
"First Tennessee","Johnson City Private Schools",9901,"Ashley Academy",9005,NA,"Ramona Harr","Private","PK, K, 1, 2, 3, 4, 5, 6, 7, 8","Category V - Acknowledged by TDOE for operation","Washington","Active","2615 South Roan Street
 Johnson City, TN 37601","Johnson City","TN","37601","1502 Knob Creek Road
 Johnson City, TN 37604","423-929-7888",NA,"","headmaster@ashleyacademy.com","47","007","47007","620L900US47007","State House District 7","LL","2024","G5220","N",436585043,1934119,"+36.2445533","-082.4799452"
"Southeast Tennessee","Athens",541,"Athens City Primary",7,4.70012e+11,"Kristine Walden","Public","PK, K, 1, 2","","McMinn","Active","316 McMinn Avenue
 Athens, TN 37303","Athens","TN","37303","","",NA,"","kwalden@athensk8.net","47","023","47023","620L900US47023","State House District 23","LL","2024","G5220","N",2240224605,26511332,"+35.4105818","-084.4045539"
"Southwest","Tipton County",840,"Atoka Elementary School",4,4.70408e+11,"Lisa Rose","Public","P4, K, 1, 2, 3, 4, 5","","Tipton","Active","870 Rosemark Road
 Atoka, TN 38004","Atoka","TN","38004","","901-840-9525",NA,"901-840-9541","lrose@tipton-county.com","47","081","47081","620L900US47081","State House District 81","LL","2024","G5220","N",2167429124,34593040,"+35.5657761","-089.5405983"
"Southwest","Madison County Private Schools",9570,"Augustine School",9001,NA,"Robert Stacey","Private","PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Category II - Approved by private school accrediting agency","Madison","Active","1171 Old Humboldt Road
 Jackson, TN 38305","Jackson","TN","38305","","731-660-6822",NA,"731-660-6833","rstacey@augustineschool.com","47","073","47073","620L900US47073","State House District 73","LL","2024","G5220","N",1034793145,3135857,"+35.7026317","-088.7189177"
"Southwest","Memphis-Shelby County Schools",792,"Aurora Collegiate Academy",8257,4.70015e+11,"Tamiko Hill","Public Charter","K, 1, 2, 3, 4, 5","","Shelby","Active","4841 Summer Avenue
 Memphis, TN 38122","Memphis","TN","38122","","901-249-4615",NA,"833-377-0095","thill@auroracollegiate.org","47","097","47097","620L900US47097","State House District 97","LL","2024","G5220","N",89970046,81370,"+35.1318526","-089.8671224"
"Mid Cumberland","Davidson County",190,"Aventura Community Schools",8015,4.70318e+11,"Kathryn Castellon","Public Charter","K, 1, 2, 3, 4, 5, 6, 7, 8","","Davidson","Active","490 Metroplex Drive
 Nashville, TN 37211","Nashville","TN","37211","","615-864-0118",NA,"","kcastellon@aventuranashville.org","47","055","47055","620L900US47055","State House District 55","LL","2024","G5220","N",47203296,0,"+36.0763336","-086.6864202"
"First Tennessee","Hamblen County Private Schools",9320,"Avenue Child Enrichment Center",9754,NA,"Judy Wise","Private","PK, K","Category IV - Church Related Schools","Hamblen","Active","6057 West Andrew Johnson Highway
 Talbott, TN 37877","Talbott","TN","37877","P.O. Box 2142
 Morristown, TN 37816","423-616-0164",NA,"","judybwise6@gmail.com","47","010","47010","620L900US47010","State House District 10","LL","2024","G5220","N",908290355,85784268,"+36.2695672","-083.4795552"
"First Tennessee","Bristol",821,"Avoca Elementary",7,4.70036e+11,"Denise McKee","Public","PK, K, 1, 2, 3, 4, 5","","Sullivan","Active","2440  Volunteer  Parkway
 Bristol, TN 37620","Bristol","TN","37620","2440 Volunteer Parkway
 Bristol, TN 37620","423-652-9445",NA,"423-652-4616","McKeeD@btcs.org","47","001","47001","620L900US47001","State House District 1","LL","2024","G5220","N",384127158,16609030,"+36.5605034","-082.2082526"
"Southwest","Memphis-Shelby County Schools",792,"Avon School",2025,4.70015e+11,"Margaret McKissick-Larry","Public","K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","","Shelby","Active","310 Avon Rd
 Memphis, TN 38117-1806","Memphis","TN","38117-1806","","901-416-2124",NA,"901-416-2126","BlandMcKissickMB@scsk12.org","47","097","47097","620L900US47097","State House District 97","LL","2024","G5220","N",89970046,81370,"+35.1318526","-089.8671224"
"Southeast Tennessee","Hamilton County Private Schools",9330,"Avondale Seventh-day Adventist School",9010,NA,"Tiffany McNealy","Private","PK, K, 1, 2, 3, 4, 5, 6, 7, 8","Category II - Approved by private school accrediting agency","Hamilton","Active","1201 North Orchard Knob Avenue
 Chattanooga, TN 37406-4249","Chattanooga","TN","37406-4249","","423-698-5028",NA,"423-551-4236","principal@avondalesda.org","47","028","47028","620L900US47028","State House District 28","LL","2024","G5220","N",117682635,6804021,"+35.0527871","-085.2516672"
"Southwest","Collierville",795,"Bailey Station Elementary School",8,4.70015e+11,"Deanna Mosley Jones","Public","P3, P4, K, 1, 2, 3, 4, 5","","Shelby","Active","3435 Bailey Station Road
 Collierville, TN 38017","Collierville","TN","38017","","901-853-6380",NA,"901-853-7380","djones@colliervilleschools.org","47","095","47095","620L900US47095","State House District 95","LL","2024","G5220","N",213581882,499259,"+35.1066180","-089.6836612"
"East Tennessee","Knox County",470,"Ball Camp Elementary",10,4.70222e+11,"Sarah Brengle","Public","K, 1, 2, 3, 4, 5","","Knox","Active","9801  Middlebrook  Pike
 Knoxville, TN 37931","Knoxville","TN","37931","","865-539-7888",NA,"865-539-3042","sarah.brengle@knoxschools.org","47","018","47018","620L900US47018","State House District 18","LL","2024","G5220","N",166246744,7363045,"+35.9137184","-083.9615571"
"Southwest","Memphis-Shelby County Schools",792,"Balmoral/Ridgeway Elementary",2610,4.70015e+11,"Erika Lowe","Public","K, 1, 2, 3, 4, 5","","Shelby","Active","5905 Grosvenor Ave
 Memphis, TN 38119-7923","Memphis","TN","38119-7923","","901-416-2128",NA,"901-416-2130","bradleye@scsk12.org","47","083","47083","620L900US47083","State House District 83","LL","2024","G5220","N",89102744,335745,"+35.0815848","-089.7955070"
"Mid Cumberland","Murfreesboro Private Schools",9751,"Bambini Village Montessori School",9700,NA,"Lili Rembold","Private","PK, K","Category V - Acknowledged by TDOE for operation","Rutherford","Active","2378 New Salem Highway
 Murfreesboro, TN 37128","Murfreesboro","TN","37128","","615-962-7066",NA,"","info@bambinivillage.com","47","034","47034","620L900US47034","State House District 34","LL","2024","G5220","N",262148504,154933,"+35.7476268","-086.4736726"
"Southwest","Memphis-Shelby County Private Schools",9792,"Barbara K. Lipman Early Learning  Research Center University of Memphis",9816,NA,"Brooke Willis","Private","PK, K","Category V - Acknowledged by TDOE for operation","Shelby","Active","3771 Poplar Avenue
 Memphis, TN 38111","Memphis","TN","38111","","901-678-2120",NA,"","bwillis3@memphis.edu","47","091","47091","620L900US47091","State House District 91","LL","2024","G5220","N",70958141,0,"+35.0945351","-090.0107775"
"Mid Cumberland","Rutherford County",750,"Barfield Elementary",3,4.70369e+11,"Judy Goodwin","Public","PK, K, 1, 2, 3, 4, 5","","Rutherford","Active","350 Veterans Parkway
 Murfreesboro, TN 37128","Murfreesboro","TN","37128","","615-904-3810",NA,"615-904-3811","goodwinj@rcschools.net","47","034","47034","620L900US47034","State House District 34","LL","2024","G5220","N",262148504,154933,"+35.7476268","-086.4736726"
"Southeast Tennessee","Hamilton County",330,"Barger Academy of Fine Arts",97,4.70159e+11,"Andrea Johnson","Public","K, 1, 2, 3, 4, 5","","Hamilton","Active","4808  Brainerd  Road
 Chattanooga, TN 37411","Chattanooga","TN","37411","","423-493-0348",NA,"423-493-0354","johnson_andrea@hcde.org","47","030","47030","620L900US47030","State House District 30","LL","2024","G5220","N",147195823,133029,"+35.0072235","-085.1153046"
"Mid Cumberland","Montgomery County",630,"Barksdale Elementary",5,4.70303e+11,"Karen Hoskins","Public","PK, K, 1, 2, 3, 4, 5","","Montgomery","Active","1920 Madison Street
 Clarksville, TN 37043-5065","Clarksville","TN","37043-5065","","931-648-5685",NA,"931-553-2087","karen.hoskins@cmcss.net","47","067","47067","620L900US47067","State House District 67","LL","2024","G5220","N",106546711,521958,"+36.5704951","-087.3316006"
"Southwest","Bartlett",794,"Bartlett Elementary School",20,4.70015e+11,"Steven Baade","Public","PK, K, 1, 2, 3, 4, 5","","Shelby","Active","3932 Billy Maher Road
 Bartlett, TN 38135","Bartlett","TN","38135","","901-373-2610",NA,"901-373-1394","sbaade@bartlettschools.org","47","088","47088","620L900US47088","State House District 88","LL","2024","G5220","N",90890633,552844,"+35.2388640","-089.8872603"
"Southeast Tennessee","Hamilton County",330,"Battle Academy for Teaching and Learning",16,4.70159e+11,"Dr. Jennifer Whalen","Public","PK, K, 1, 2, 3, 4, 5","","Hamilton","Active","1601 Market Street
 Chattanooga, TN 37408","Chattanooga","TN","37408","","423-498-6860",NA,"423-209-5748","whalen_j@hcde.org","47","026","47026","620L900US47026","State House District 26","LL","2024","G5220","N",312036596,45018956,"+35.2502496","-085.1432411"
