Region,District,District No.,School Name,School No.,NCES School No.,Principal,School Type,Grade Level,Categories,County,Status,address,Address 1 City,Address 1 State,Address 1 Zipcode,Address 2 Composite,Phone 1,Phone 2,Fax 1,Email Address
East Tennessee,Blount County Private Schools,09050,Adventist Christian School of Maryville,9066,,Rachel Clifford,Private,"K, 1, 2, 3, 4, 5, 6, 7, 8",Category II - Approved by private school accrediting agency,Blount,Active,"2921 Sevierville Road
 Maryville, TN 37804",Maryville,TN,37804,"P.O. Box 4128 Road
 Maryville, TN 37802",865-982-7584,,865-681-9901,rclifford@gccsda.com
South Central,Maury County Private Schools,09600,Agathos Classical School,9007,,Ted Trainor,Private,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category IV - Church Related Schools,Maury,Active,"1201 Mapleash Avenue
 Columbia, TN 38401",Columbia,TN,38401,,931-388-0556,,,ryan.boomershine@agathosschool.com
Mid Cumberland,Davidson County Private Schools,09190,Akiva School,9010,,Daneilla Pressner,Private,"K, 1, 2, 3, 4, 5, 6, 7, 8",Category III - Approved by regional private school accrediting agency,Davidson,Active,"809 Percy Warner Boulevard
 Nashville, TN 37205-4009",Nashville,TN,37205-4009,"809 Percy Warner Boulevard
 Nashville, TN 37205",615-356-1880,,615-356-1850,dpressner@akivanashville.net
East Tennessee,Alcoa,00051,Alcoa Elementary,0005,4.70006E+11,Dr. Jarrod Pendergraft,Public,"P3, P4, PK, K, 1, 2",,Blount,Active,"1200  Springbrook  Road
 Alcoa, TN 37701",Alcoa,TN,37701,,865-982-3120,,865-984-4458,JPendergraft@alcoaschools.net
Southwest,Madison County,00570,Alexander Elementary School,0006,4.70258E+11,Kenton Evans,Public,"P3, P4, PK, K, 1, 2, 3, 4, 5",,Madison,Active,"900 N Highland Avenue
 Jackson, TN 38301",Jackson,TN,38301,,731-422-1841,,731-424-1801,knevans@jmcss.org
Upper Cumberland,Putnam County,00710,Algood Elementary,0005,4.70348E+11,Patience Cannon,Public,"K, 1, 2, 3, 4",,Putnam,Active,"2525 Old Walton Road
 Algood, TN 38506",Algood,TN,38506,,931-303-0362,,,cannonp1@pcsstn.com
First Tennessee,Hamblen County Private Schools,09320,AliYah Academy,9705,,Katherine Nemeth,Private,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category IV - Church Related Schools,Hamblen,Active,"929 W. 1st North Street
 Morristown, TN 37814",Morristown,TN,37814,,865-297-6940,,,aliyahacademy@gmail.com
First Tennessee,Hamblen County Private Schools,09320,All Saints' Episcopal School,9005,,Steven Sorrell,Private,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Category III - Approved by regional private school accrediting agency,Hamblen,Active,"3275 Maple Valley Road
 Morristown, TN 37813",Morristown,TN,37813,,423-586-3280,,423-586-9355,ssorrell@asestn.org
Upper Cumberland,Fentress County,00250,Allardt Elementary,0005,4.70123E+11,Missie Cravens,Public,"P4, K, 1, 2, 3, 4, 5, 6, 7, 8",,Fentress,Active,"220 Portland Avenue
 Allardt, TN 38504",Allardt,TN,38504,"Box 129 Avenue
 Allardt, TN 38504",931-879-9515,,931-879-2702,missie.cravens@fentressboe.com
Southeast Tennessee,Hamilton County,00330,Allen Elementary School,0005,4.70159E+11,Haley Brown,Public,"P3, P4, K, 1, 2, 3, 4, 5",,Hamilton,Active,"9811  Dallas  Hollow Road
 Soddy Daisy, TN 37379",Soddy Daisy,TN,37379,,423-843-4713,,423-743-4714,Brown_Haley@hcde.org
Mid Cumberland,Williamson County,00940,Allendale Elementary School,0004,4.70453E+11,Dr. Cindy Davis,Public,"K, 1, 2, 3, 4, 5",,Williamson,Active,"2100 Prescott Way
 Spring Hill, TN 37174",Spring Hill,TN,37174,,615-472-5130,,615-472-5141,cindyd1@wcs.edu
Southeast Tennessee,Hamilton County,00330,Alpine Crest Elementary School,0010,4.70159E+11,Shelly Jackson,Public,"K, 1, 2, 3, 4, 5",,Hamilton,Active,"4700  Stagg  Road
 Chattanooga, TN 37415",Chattanooga,TN,37415,,423-874-1921,,423-874-1939,jackson_shelly@hcde.org
Southwest,Bartlett,00794,Altruria Elementary,0003,4.70015E+11,Marva Johnson,Public,"K, 1, 2, 3, 4, 5",,Shelby,Active,"6641 Deermont Drive
 Bartlett, TN 38134",Bartlett,TN,38134,,901-373-2600,,901-373-1418,mjohnson@bartlettschools.org
Mid Cumberland,Williamson County,00940,Amanda H. North Elementary School,0034,4.70453E+11,Jill Justus,Public,"PK, K, 1, 2, 3, 4, 5",,Williamson,Active,"1726 Wilkes Lane
 Spring Hill, TN 37174",Spring Hill,TN,37174,,615-472-5400,,,jill.justus@wcs.edu
Mid Cumberland,Rutherford County,00750,American Classical Academy Rutherford,8001,4.70369E+11,Phillip Schwenk,Public Charter,"K, 1, 2, 3, 4, 5, 6",,Rutherford,Active,"2 Ingram Blvd
 La Vergne, TN 37086",LaVergne,TN,37086,,615-893-5812,,,pschwenk@americanclassicalschools.com
East Tennessee,Knox County,00470,Amherst Elementary School,0002,4.70222E+11,Trina Spista,Public,"PK, K, 1, 2, 3, 4, 5",,Knox,Active,"5101 Schaad Road
 Knoxville, TN 37931",Knoxville,TN,37931,,865-560-7001,,865-560-7005,trina.spista@knoxschools.org
Southwest,Haywood County,00380,Anderson Early Childhood,0005,4.70177E+11,Teresa Russell,Public,"PK, K",,Haywood,Active,"620 West Main
 Brownsville, TN 38012",Brownsville,TN,38012,,731-772-9053,,,teresa.russell@hcsk12.net
East Tennessee,Anderson County,00010,Andersonville Elementary,0005,4.70009E+11,Beth Roeder,Public,"PK, K, 1, 2, 3, 4, 5",,Anderson,Active,"1951  Mountain  Road
 Andersonville, TN 37705",Andersonville,TN,37705,,865-494-7695,,865-494-5484,broeder@acs.ac
Southwest,Madison County,00570,Andrew Jackson Elementary School,0146,4.70258E+11,Ryan Kirkbride,Public,"PS, K, 1, 2, 3, 4, 5",,Madison,Active,"211 Old Hickory Boulevard
 Jackson, TN 38305",Jackson,TN,38305,,731-668-8023,,731-668-5933,rmkirkbride@jmcss.org
First Tennessee,Kingsport,00822,Andrew Jackson Elementary School,0015,4.70219E+11,Dr. Kelli Seymour,Public,"PK, K, 1, 2, 3, 4, 5",,Sullivan,Active,"600  Jackson  Street
 Kingsport, TN 37660",Kingsport,TN,37660,,423-378-2250,,423-378-2242,kseymour@k12k.com
First Tennessee,Kingsport,00822,Andrew Johnson Elementary School,0025,4.70219E+11,Mr. Brett Herron,Public,"PK, K, 1, 2, 3, 4, 5",,Sullivan,Active,"1001  Ormond  Drive
 Kingsport, TN 37664",Kingsport,TN,37664,,423-378-2300,,423-378-2310,bherron@k12k.com
Upper Cumberland,Putnam County Private Schools,09710,Anniston Academy,9987,,Erin Mekkaoui,Private,"PK, K, 1, 2, 3, 4, 5, 6",Category I - Approved by TDOE,Putnam,Active,"2221 West Jackson Street
 Cookeville, TN 38501",Cookeville,TN,38501,,931-263-8908,,,admin@annistonacademy.com
Southeast Tennessee,Hamilton County Private Schools,09330,Annoor Academy of Chattanooga,9181,,Amany Shourbaji,Private,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Category III - Approved by regional private school accrediting agency,Hamilton,Active,"2533 Gunbarrel Road
 Chattanooga, TN 37421-1808",Chattanooga,TN,37421-1808,,423-894-1637,,,principal@annooracademy.org
East Tennessee,Knox County Private Schools,09470,Annoor Academy of Knoxville,9001,,Reem Abdelrazek,Private,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category III - Approved by regional private school accrediting agency,Knox,Active,"724 Foxvue Road
 Knoxville, TN 37922-9005",Knoxville,TN,37922-9005,,865-525-3399,,865-249-7627,admin@annooracademy.net
Southeast Tennessee,Hamilton County,00330,Apison Elementary School,0013,4.70159E+11,Danielle Rungruang,Public,"P3, P4, K, 1, 2, 3, 4, 5",,Hamilton,Active,"10433 East Brainerd Road
 Apison, TN 37302",Apison,TN,37302,,423-498-6895,,423-236-4000,rungruang_d@hcde.org
East Tennessee,Blount County Private Schools,09050,Apostolic Christian Academy,9006,,Jacob D. Sullivan,Private,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Category IV - Church Related Schools, Category II - Approved by private school accrediting agency",Blount,Active,"1331 William Blount Drive
 Maryville, TN 37801",Maryville,TN,37801,,865-982-4901,,865-268-0740,jacob.sullivan@acamaryville.org
East Tennessee,Knox County Private Schools,09470,Apostolic Christian School,9375,,Carolyn Daniel,Private,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category IV - Church Related Schools,Knox,Active,"5020 Pleasant Ridge Road
 Knoxville, TN 37912-4829",Knoxville,TN,37912-4829,,865-523-5261,,865-544-0995,ACSKnoxville@gmail.com
First Tennessee,Kingsport Private Schools,09822,Apostolic Gospel Academy,9008,,Sharon Street,Private,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category IV - Church Related Schools,Sullivan,Active,"1780 Granby Road
 Kingsport, TN 37660",Kingsport,TN,37660,,423-245-6756,,,agacademy16@yahoo.com
First Tennessee,Johnson City Private Schools,09901,Appalachian Banner Academy,9870,,Mikael Gouge,Private,"K, 1, 2, 3, 4",Category V - Acknowledged by TDOE for operation,Washington,Active,"2423 Susannah Street
 Johnson City, TN 37601",Johnson City,TN,37601,,423-297-6828,,,mikaelgouge@gmail.com
Southwest,Madison County,00570,Arlington Elementary School,0014,4.70258E+11,Shemon Reaves,Public,"P3, P4, PK, K, 1, 2, 3, 4, 5",,Madison,Active,"701 Arlington Avenue
 Jackson, TN 38301",Jackson,TN,38301,,731-265-9784,,731-265-9803,sjreaves@jmcss.org
Mid Cumberland,Williamson County,00940,Arrington Elementary School,0038,4.70453E+11,Amanda Fuller,Public,"PK, K, 1, 2, 3, 4, 5",,Williamson,Active,"6280 Cox Road
 Arrington, TN 37014",Arrington,TN,37014,,615-472-5420,,,amanda.fuller@wcs.edu
Mid Cumberland,Cheatham County,00110,Ashland City Elementary,0005,4.70057E+11,Linda Owen,Public,"PK, K, 1, 2, 3, 4",,Cheatham,Active,"108  Elizabeth  Street
 Ashland City, TN 37015",Ashland City,TN,37015,,615-792-4296,,,linda.owen@ccstn.org
First Tennessee,Johnson City Private Schools,09901,Ashley Academy,9005,,Ramona Harr,Private,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Category V - Acknowledged by TDOE for operation,Washington,Active,"2615 South Roan Street
 Johnson City, TN 37601",Johnson City,TN,37601,"1502 Knob Creek Road
 Johnson City, TN 37604",423-929-7888,,,headmaster@ashleyacademy.com
Southeast Tennessee,Athens,00541,Athens City Primary,0007,4.70012E+11,Kristine Walden,Public,"PK, K, 1, 2",,McMinn,Active,"316 McMinn Avenue
 Athens, TN 37303",Athens,TN,37303,,,,,kwalden@athensk8.net
Southwest,Tipton County,00840,Atoka Elementary School,0004,4.70408E+11,Lisa Rose,Public,"P4, K, 1, 2, 3, 4, 5",,Tipton,Active,"870 Rosemark Road
 Atoka, TN 38004",Atoka,TN,38004,,901-840-9525,,901-840-9541,lrose@tipton-county.com
Southwest,Madison County Private Schools,09570,Augustine School,9001,,Robert Stacey,Private,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category II - Approved by private school accrediting agency,Madison,Active,"1171 Old Humboldt Road
 Jackson, TN 38305",Jackson,TN,38305,,731-660-6822,,731-660-6833,rstacey@augustineschool.com
Southwest,Memphis-Shelby County Schools,00792,Aurora Collegiate Academy,8257,4.70015E+11,Tamiko Hill,Public Charter,"K, 1, 2, 3, 4, 5",,Shelby,Active,"4841 Summer Avenue
 Memphis, TN 38122",Memphis,TN,38122,,901-249-4615,,833-377-0095,thill@auroracollegiate.org
Mid Cumberland,Davidson County,00190,Aventura Community Schools,8015,4.70318E+11,Kathryn Castellon,Public Charter,"K, 1, 2, 3, 4, 5, 6, 7, 8",,Davidson,Active,"490 Metroplex Drive
 Nashville, TN 37211",Nashville,TN,37211,,615-864-0118,,,kcastellon@aventuranashville.org
First Tennessee,Hamblen County Private Schools,09320,Avenue Child Enrichment Center,9754,,Judy Wise,Private,"PK, K",Category IV - Church Related Schools,Hamblen,Active,"6057 West Andrew Johnson Highway
 Talbott, TN 37877",Talbott,TN,37877,"P.O. Box 2142
 Morristown, TN 37816",423-616-0164,,,judybwise6@gmail.com
First Tennessee,Bristol,00821,Avoca Elementary,0007,4.70036E+11,Denise McKee,Public,"PK, K, 1, 2, 3, 4, 5",,Sullivan,Active,"2440  Volunteer  Parkway
 Bristol, TN 37620",Bristol,TN,37620,"2440 Volunteer Parkway
 Bristol, TN 37620",423-652-9445,,423-652-4616,McKeeD@btcs.org
Southwest,Memphis-Shelby County Schools,00792,Avon School,2025,4.70015E+11,Margaret McKissick-Larry,Public,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",,Shelby,Active,"310 Avon Rd
 Memphis, TN 38117-1806",Memphis,TN,38117-1806,,901-416-2124,,901-416-2126,BlandMcKissickMB@scsk12.org
Southeast Tennessee,Hamilton County Private Schools,09330,Avondale Seventh-day Adventist School,9010,,Tiffany McNealy,Private,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Category II - Approved by private school accrediting agency,Hamilton,Active,"1201 North Orchard Knob Avenue
 Chattanooga, TN 37406-4249",Chattanooga,TN,37406-4249,,423-698-5028,,423-551-4236,principal@avondalesda.org
Southwest,Collierville,00795,Bailey Station Elementary School,0008,4.70015E+11,Deanna Mosley Jones,Public,"P3, P4, K, 1, 2, 3, 4, 5",,Shelby,Active,"3435 Bailey Station Road
 Collierville, TN 38017",Collierville,TN,38017,,901-853-6380,,901-853-7380,djones@colliervilleschools.org
East Tennessee,Knox County,00470,Ball Camp Elementary,0010,4.70222E+11,Sarah Brengle,Public,"K, 1, 2, 3, 4, 5",,Knox,Active,"9801  Middlebrook  Pike
 Knoxville, TN 37931",Knoxville,TN,37931,,865-539-7888,,865-539-3042,sarah.brengle@knoxschools.org
Southwest,Memphis-Shelby County Schools,00792,Balmoral/Ridgeway Elementary,2610,4.70015E+11,Erika Lowe,Public,"K, 1, 2, 3, 4, 5",,Shelby,Active,"5905 Grosvenor Ave
 Memphis, TN 38119-7923",Memphis,TN,38119-7923,,901-416-2128,,901-416-2130,bradleye@scsk12.org
Mid Cumberland,Murfreesboro Private Schools,09751,Bambini Village Montessori School,9700,,Lili Rembold,Private,"PK, K",Category V - Acknowledged by TDOE for operation,Rutherford,Active,"2378 New Salem Highway
 Murfreesboro, TN 37128",Murfreesboro,TN,37128,,615-962-7066,,,info@bambinivillage.com
Southwest,Memphis-Shelby County Private Schools,09792,Barbara K. Lipman Early Learning  Research Center University of Memphis,9816,,Brooke Willis,Private,"PK, K",Category V - Acknowledged by TDOE for operation,Shelby,Active,"3771 Poplar Avenue
 Memphis, TN 38111",Memphis,TN,38111,,901-678-2120,,,bwillis3@memphis.edu
Mid Cumberland,Rutherford County,00750,Barfield Elementary,0003,4.70369E+11,Judy Goodwin,Public,"PK, K, 1, 2, 3, 4, 5",,Rutherford,Active,"350 Veterans Parkway
 Murfreesboro, TN 37128",Murfreesboro,TN,37128,,615-904-3810,,615-904-3811,goodwinj@rcschools.net
Southeast Tennessee,Hamilton County,00330,Barger Academy of Fine Arts,0097,4.70159E+11,Andrea Johnson,Public,"K, 1, 2, 3, 4, 5",,Hamilton,Active,"4808  Brainerd  Road
 Chattanooga, TN 37411",Chattanooga,TN,37411,,423-493-0348,,423-493-0354,johnson_andrea@hcde.org
Mid Cumberland,Montgomery County,00630,Barksdale Elementary,0005,4.70303E+11,Karen Hoskins,Public,"PK, K, 1, 2, 3, 4, 5",,Montgomery,Active,"1920 Madison Street
 Clarksville, TN 37043-5065",Clarksville,TN,37043-5065,,931-648-5685,,931-553-2087,karen.hoskins@cmcss.net
Southwest,Bartlett,00794,Bartlett Elementary School,0020,4.70015E+11,Steven Baade,Public,"PK, K, 1, 2, 3, 4, 5",,Shelby,Active,"3932 Billy Maher Road
 Bartlett, TN 38135",Bartlett,TN,38135,,901-373-2610,,901-373-1394,sbaade@bartlettschools.org
Southeast Tennessee,Hamilton County,00330,Battle Academy for Teaching and Learning,0016,4.70159E+11,Dr. Jennifer Whalen,Public,"PK, K, 1, 2, 3, 4, 5",,Hamilton,Active,"1601 Market Street
 Chattanooga, TN 37408",Chattanooga,TN,37408,,423-498-6860,,423-209-5748,whalen_j@hcde.org
Mid Cumberland,Williamson County Private Schools,09940,Battle Ground Academy,9006,,Will Kessler,Private,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Category III - Approved by regional private school accrediting agency,Williamson,Active,"336 Ernest Rice Lane
 Franklin, TN 37069",Franklin,TN,37069,"P.O. Box 1889 Lane
 Franklin, TN 37069",615-567-8377,,615-790-3933,will.kesler@mybga.org
Upper Cumberland,Putnam County,00710,Baxter Primary,0017,4.70348E+11,Mrs. Marsha Wyatt,Public,"PK, K, 1",,Putnam,Active,"125 Elmore Town Road
 Baxter, TN 38544",Baxter,TN,38544,"125 Elmore Town Road
 Baxter, TN 38544",931-858-3110,,931-858-4644,mwyatt@pcsstn.com
Southwest,Memphis-Shelby County Schools,00792,Beacon College Preparatory,8338,4.70015E+11,Cordette Hubbard,Public Charter,"K, 1, 2, 3, 4, 5",,Shelby,Active,"5130 Raleigh Lagrange Road
 Memphis, TN 38134",Memphis,TN,38134,,901-853-0965,,,chubbard@beaconcollegeprep.org
East Tennessee,Knox County,00470,Bearden Elementary,0012,4.70222E+11,Porscha Harris,Public,"K, 1, 2, 3, 4, 5",,Knox,Active,"5717  Kingston  Pike
 Knoxville, TN 37919",Knoxville,TN,37919,,865-909-9000,,865-909-9007,porscha.harris@knoxschools.org
East Tennessee,Knox County,00470,Beaumont Elementary/Magnet,0022,4.70222E+11,Cindy Sanford,Public,"K, 1, 2, 3, 4, 5",,Knox,Active,"1211  Beaumont  Avenue
 Knoxville, TN 37921",Knoxville,TN,37921,,865-594-1272,,865-594-1375,cindy.sanford@knoxschools.org
South Central,Tullahoma,00162,Bel Aire Elementary,0005,4.7042E+11,Clint Epley,Public,"K, 1, 2, 3, 4, 5",,Coffee,Active,"504 Stone Blvd
 Tullahoma, TN 37388",Tullahoma,TN,37388,,931-454-2610,,931-454-2656,Clint.epley@tcsedu.net
Southwest,Memphis-Shelby County Schools,00792,Believe Memphis Academy Charter School,8350,4.70015E+11,Matt Cowan,Public Charter,"K, 1, 2, 3, 4, 5, 6, 7, 8",,Shelby,Active,"2230 Corry Road
 Memphis, TN 38106",Memphis,TN,38106,,901-881-7970,,901-205-0484,mcowan@believememphisacademy.org
Southwest,Memphis-Shelby County Schools,00792,Belle Forest Community School,0300,4.70015E+11,Erron Henderson,Public,"PK, K, 1, 2, 3, 4, 5",,Shelby,Active,"3135 Ridgeway
 Memphis, TN 38115-2734",Memphis,TN,38115-2734,,901-416-7200,,901-416-7198,hendersoned@scsk12.org
East Tennessee,Knox County,00470,Belle Morris Elementary,0024,4.70222E+11,David Guyer,Public,"PK, K, 1, 2, 3, 4, 5",,Knox,Active,"2308  Washington  Pike
 Knoxville, TN 37917",Knoxville,TN,37917,,865-594-1277,,865-594-1125,david.guyer@knoxschools.org
Mid Cumberland,Davidson County,00190,Bellshire Elementary,0045,4.70318E+11,Dr. Donald Black,Public,"PK, K, 1, 2, 3, 4, 5",,Davidson,Active,"1128 Bell Grimes Lane
 Nashville, TN 37207",Nashville,TN,37207,,615-860-1452,,,donald.black2@mnps.org
Southeast Tennessee,Hamilton County Private Schools,09330,Belvoir Christian Academy,9090,,David Topp,Private,"K, 1, 2, 3, 4, 5, 6, 7, 8","Category II - Approved by private school accrediting agency, Category III - Approved by regional private school accrediting agency",Hamilton,Active,"800 Belvoir Avenue
 Chattanooga, TN 37412",Chattanooga,TN,37412,"800 Belvoir Avenue
 Chattanooga, TN 37412",423-622-3755,,,dtopp@bcalions.org
Mid Cumberland,Sumner County,00830,Benny C. Bills Elementary School,0104,4.70402E+11,Amy Rogers,Public,"PK, K, 1, 2, 3, 4, 5",,Sumner,Active,"1030 Union School Road
 Gallatin, TN 37066",Gallatin,TN,37066,,615-451-6577,,615-451-6575,amy.rogers@sumnerschools.org
East Tennessee,Knox County Private Schools,09470,Berean Christian School,9011,,"Jon Farra,Terri Lakin, Mark Little",Private,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12","Category III - Approved by regional private school accrediting agency, Category II - Approved by private school accrediting agency",Knox,Active,"2329 Prosser Road
 Knoxville, TN 37914",Knoxville,TN,37914,,865-521-6054,,888-788-1465,jonfarra@berean.me
Southeast Tennessee,Hamilton County,00330,Bess T Shepherd Elementary School,0017,4.70159E+11,Dr. Sarah Lane,Public,"K, 1, 2, 3, 4, 5",,Hamilton,Active,"7126  Tyner  Road
 Chattanooga, TN 37421",Chattanooga,TN,37421,,423-855-2611,,423-855-2668,Lane_S@hcde.org
Southwest,Memphis-Shelby County Schools,00792,Bethel Grove Elementary,2050,4.70015E+11,Craig McKee,Public,"PK, K, 1, 2, 3, 4, 5",,Shelby,Active,"2459 Arlington Ave
 Memphis, TN 38114-4221",Memphis,TN,38114-4221,,901-416-5012,,901-416-5005,mckeec@scsk12.org
Southwest,McNairy County,00550,Bethel Springs Elementary,0015,4.70288E+11,Terry Moore,Public,"P4, K, 1, 2, 3, 4, 5, 6, 7, 8",,McNairy,Active,"4733 Main
 Bethel Springs, TN 38315",Bethel Springs,TN,38315,"P. O. Box 38
 Bethel Springs, TN 38315",731-934-7288,,,mooret@mcnairy.org
Mid Cumberland,Sumner County,00830,Bethpage Elementary,0010,4.70402E+11,Kristi Manning,Public,"K, 1, 2, 3, 4, 5",,Sumner,Active,"420 Old Highway 31 E
 Bethpage, TN 37022",Bethpage,TN,37022,,615-841-3212,,615-841-3998,kristi.manning@sumnerschools.org
Mid Cumberland,Murfreesboro,00751,Black Fox Elementary,0007,4.70315E+11,Tiffany Strevel,Public,"K, 1, 2, 3, 4, 5, 6",,Rutherford,Active,"1753 South Rutherford Boulevard
 Murfreesboro, TN 37130",Murfreesboro,TN,37130,,615-893-6395,,615-893-0121,tiffany.strevel@cityschools.net
Southeast Tennessee,Bradley County,00060,Black Fox Elementary School,0010,4.70033E+11,Chris Green,Public,"P3, P4, K, 1, 2, 3, 4, 5",,Bradley,Active,"3119 Varnell Road
 Cleveland, TN 37311",Cleveland,TN,37311,"3119 Sw Varnell Road
 Cleveland, TN 37311",423-478-8800,,423-478-8850,cgreen@bradleyschools.org
Mid Cumberland,Rutherford County,00750,Blackman Elementary School,0001,4.70369E+11,Lorie Gober,Public,"K, 1, 2, 3, 4, 5",,Rutherford,Active,"586 Fortress Boulevard
 Murfreesboro, TN 37128",Murfreesboro,TN,37128,,615-904-3795,,615-904-3796,goberl@rcschools.net
South Central,Lincoln County,00520,Blanche School,0012,4.70249E+11,Garth Garris,Public,"PS, PK, K, 1, 2, 3, 4, 5, 6, 7, 8",,Lincoln,Active,"1491 Ardmore Highway
 Taft, TN 38488",Taft,TN,38488,,931-425-6141,,,ggarris@lcdoe.org
First Tennessee,Sullivan County,00820,Bluff City Elementary,0035,4.70399E+11,Hank Hare,Public,"K, 1, 2, 3, 4, 5",,Sullivan,Active,"282 Maple Drive
 Bluff City, TN 37618",Bluff City,TN,37618,"P O Box 280 Drive
 Bluff City, TN 37618",423-354-1825,,423-354-1831,franklyn.hare@sullivank12.net
Southeast Tennessee,Cleveland,00061,Blythe-Bower Elementary,0012,4.70069E+11,Dr. Joel Barnes,Public,"PK, K, 1, 2, 3, 4, 5",,Bradley,Active,"604 20th  St SE
 Cleveland, TN 37311",Cleveland,TN,37311,,423-479-5121,,423-472-2459,jbarnes@clevelandschools.org
Upper Cumberland,Warren County,00890,Bobby Ray Memorial,0063,4.70435E+11,Monti Hillis,Public,"P4, K, 1, 2, 3, 4, 5",,Warren,Active,"504 North Chancery Street
 McMinnville, TN 37110",McMinnville,TN,37110,,931-473-9006,,931-506-5245,montihillis@warrenschools.com
Southwest,Hardeman County Schools,00350,Bolivar Elementary,0005,4.70165E+11,Ginger Crowe,Public,"PK, K, 1, 2, 3, 4, 5",,Hardeman,Active,"445  Nuckolls  Road
 Bolivar, TN 38008",Bolivar,TN,38008,,731-658-3981,,731-658-2641,croweg@hcsedu.org
